case_id,distance,angle_deg,orientation_deg,final_std,final_flux_max,final_node_max,final_distance,anisotropy_ratio,major_axis_angle_deg,dipole_amplitude,dipole_angle_deg,interaction_score
212,66,0,90,0.7995173124059741,5.0623488483772405,24.01722408526938,19.428156220687107,1.0754918090300898,-146.29960000889116,4.6087818319814975,-173.6070686949687,0.5519124875309618
119,42,60,180,0.7636545157631169,5.228059089098195,23.186849198983566,48.45629096478809,1.0768324997671577,51.479209435462,8.73370312691036,-142.03041086824132,0.5518144045015009
62,26,150,90,0.7547105718341328,5.108931288792913,26.704520390094377,51.5152667222339,1.082207346825327,-140.60812124890077,9.063655934050573,22.742525795685946,0.550755297493264
96,34,150,45,0.7463511681419314,5.343004244898035,23.63255861808366,19.27101258669003,1.1941513163244695,49.302147529585945,2.851033033984289,-146.59202775662817,0.5505067514182347
267,74,120,90,0.779100446221467,5.169576701266993,23.994318730284597,42.11662732972725,1.2106246016354891,135.2531286978509,5.878004874455462,96.7382990407748,0.5504593347750495
2,18,0,90,0.7496731512916989,5.051076107049058,20.144367712466597,42.49309743062851,1.1562831317585818,-139.10937596210653,6.6725623770610545,129.95689288865242,0.5492157619232853
74,34,0,180,0.7461911020498422,4.845814162024414,21.620999698225738,41.2538952762767,1.1004356565055777,74.52609675166532,7.278946888826555,-167.067127568403,0.5487114929803347
139,42,180,180,0.7757558648551526,5.015364685435229,22.801087032393806,61.33171676631492,1.1039108238160127,-150.91066231560518,12.744277355274425,28.051834568792607,0.5452968280764318
108,42,0,135,0.7919735967766287,4.693629043281584,25.45754587481678,58.99793814631594,1.0772388276814169,94.50091004492154,17.280241887295563,-171.94230628606363,0.5436297231091287
159,50,90,180,0.7835309408829028,4.859827489249717,22.56018396744666,14.817158414265892,1.1031621346785316,152.30247881540853,3.2563114388122214,-86.06679475179101,0.5414661756263641
207,58,180,90,0.7882730369082245,5.144795421873976,21.8589279393311,31.57983735496535,1.105524485049617,-161.62868699464113,5.4555920340519,118.62156524546208,0.5358087769417983
95,34,150,0,0.7410684332273326,5.019980994949447,25.2140232781899,66.62726557918538,1.1364874244348695,-146.72152964820327,11.550449410021029,-60.034849818709766,0.5351073843215078
183,58,30,135,0.7996691230508426,5.181173191472826,23.126911375880756,43.65695563670098,1.0318001893402835,55.932054972760454,8.17609156978421,-154.59881848104652,0.5337785214290842
27,18,150,90,0.7436521665011171,4.941727246889977,24.503523410945398,11.420242692672476,1.0441892025635409,100.89401620185659,3.346597065326576,-83.16239915856391,0.5321242851048382
70,34,0,0,0.7840720406495498,5.119293310538847,24.414498186215145,59.1759086617528,1.0526569408908568,49.168147222878346,16.04644578323483,-171.88061795584218,0.5304489271366644
204,58,150,180,0.7868437815864643,5.102797613430622,22.560302834915337,31.07202869122499,1.1572196149853877,145.33270322326607,4.482665531922765,-88.69988325806844,0.5301429576538658
55,26,120,0,0.7346872663457809,5.222296229435712,25.700004967543485,24.762614173223618,1.0925307612191888,-136.84042419061018,4.4968640607919035,-8.886645348290777,0.5298425518711929
1,18,0,45,0.7813068752320249,5.118772197561438,23.282963715635034,61.3603201399749,1.0697191808104136,93.5291643574304,17.063982435157023,-173.26670668569463,0.5280579897053322
196,58,120,45,0.7818286437562096,4.957308123038833,24.378548094600053,24.78171207530432,1.072365032980683,111.86015539595047,4.7207230133308675,-55.684842872443966,0.5274992615804003
76,34,30,45,0.7936883717318819,4.941402414972653,24.551066490456673,59.12584428511493,1.0398278324763746,108.99725855855185,13.906540353948769,-152.99959609425252,0.5242846948126126
251,74,30,45,0.8176080564900002,5.056919757781151,21.561530577793537,66.0303162952199,1.1072373982211334,-136.87435525305688,14.331312151963601,-156.7818000126214,0.5234671176344672
162,50,120,90,0.7614714243855341,4.922171112592531,23.82605151552889,30.248513472078226,1.0746441776684912,71.4896319859393,5.269415809002792,-56.851615330534514,0.5205090747889521
247,74,0,90,0.7985141755423119,4.711244965104679,20.74905256095273,65.71459156304813,1.140708956865882,144.38007338722952,9.185650502030473,127.39373795580394,0.5132792881887669
260,74,90,0,0.789199863409886,5.001784499384304,22.35258485640108,51.9069201469595,1.1053767573039264,-147.1668995836967,7.647016473783236,-66.98947425990073,0.5107993544995789
164,50,120,180,0.7799268778715052,4.686307139276796,22.34314743942142,31.354677276411167,1.1514635253223648,114.53042685132039,4.05234949874044,-27.582476058929373,0.510790608735042
217,66,30,90,0.7868015224543468,5.116958963795252,24.851429553936057,62.06934055003709,1.0407571550430954,81.6251788595192,11.18278277823897,-164.30770901680555,0.5100318747713622
60,26,150,0,0.738083455807283,5.242388949508335,21.989260729284073,58.78083471677902,1.2340234149931595,-137.15090507185653,6.765877644759817,88.44432653527195,0.5099132514792782
222,66,60,90,0.7882371502495668,4.976983166550365,24.81093525755867,73.74607154081916,1.155666114227041,78.25658143398587,18.872847304722566,175.61011630299976,0.5091026994094248
206,58,180,45,0.7787979563672539,4.95507361588076,22.94739507351821,35.25005743541676,1.088252555559382,-140.70496346637137,5.388656367195339,48.84269640373619,0.5064789634544441
40,26,30,0,0.7707929162494142,4.960159164025606,21.698500615161816,69.53667651657891,1.1014107666497868,147.92220776464688,13.50335787675356,-178.57676805011087,0.5030220007419988
122,42,90,90,0.7498711281143106,5.222378125490882,24.89089053106826,57.223405541421776,1.0198240025566425,165.2918637925826,9.307796300350445,-121.92705424610277,0.499567844083478
79,34,30,180,0.7592277093077167,5.338874296824747,23.69509742394989,69.26538850873798,1.0853461794079513,104.33283462044491,10.89546170300254,-130.3190110757579,0.4963461471602857
8,18,30,135,0.7692943372527792,4.997659468733466,25.397668379661017,62.47788600027672,1.0174229523691085,156.8937106726032,13.819627169933538,-144.16104492983135,0.49632204618317066
125,42,120,0,0.7554245512357044,5.007935452735215,24.051907528020998,51.35709959679029,1.058083072237117,93.20156656246677,7.807108541347588,-119.39034086259451,0.4955048370817726
181,58,30,45,0.8090346608693048,5.104523220234967,20.8626192900338,67.12553879163762,1.0607491793579578,-142.24156320256324,12.397726201274013,-159.45078560192954,0.4947468957207907
38,26,0,135,0.7518073762923043,5.043527950699481,21.460948567932466,65.19864132144934,1.0406422823899881,-166.50053976342122,11.293330854246012,-150.12177294591606,0.4943279345877473
238,66,150,135,0.8000768944734048,4.801839137437148,22.990002996540344,28.33641829848979,1.1298807093491712,147.66643653495638,3.4510440737263033,-66.57857239127516,0.49404480576255727
